iter	Passed	Remaining
902	1723	185
903	1724	183
904	1726	181
905	1728	179
906	1730	177
907	1732	175
908	1733	173
909	1735	171
910	1737	169
911	1739	167
912	1741	165
913	1743	164
914	1745	162
915	1746	160
916	1748	158
917	1750	156
918	1752	154
919	1754	152
920	1756	150
921	1758	148
922	1760	146
923	1762	144
924	1763	143
925	1765	141
926	1767	139
927	1769	137
928	1771	135
929	1773	133
930	1774	131
931	1776	129
932	1778	127
933	1780	125
934	1782	123
935	1784	122
936	1786	120
937	1788	118
938	1790	116
939	1791	114
940	1793	112
941	1795	110
942	1797	108
943	1799	106
944	1801	104
945	1802	102
946	1804	101
947	1806	99
948	1808	97
949	1810	95
950	1812	93
951	1814	91
952	1815	89
953	1817	87
954	1819	85
955	1821	83
956	1823	81
957	1825	80
958	1827	78
959	1828	76
960	1830	74
961	1832	72
962	1834	70
963	1835	68
964	1837	66
965	1839	64
966	1841	62
967	1843	60
968	1844	59
969	1846	57
970	1848	55
971	1850	53
972	1852	51
973	1853	49
974	1855	47
975	1857	45
976	1859	43
977	1861	41
978	1862	39
979	1864	38
980	1866	36
981	1868	34
982	1870	32
983	1872	30
984	1874	28
985	1876	26
986	1877	24
987	1879	22
988	1881	20
989	1883	19
990	1885	17
991	1887	15
992	1888	13
993	1890	11
994	1892	9
995	1894	7
996	1896	5
997	1898	3
998	1900	1
999	1902	0
