Najlepsza_para,Interakcja,Korelacja
"('Spa', 'Destination_Enc')",Interakcja_Spa_Destination_Enc,-0.23007283072213044
"('VRDeck', 'Family')",Interakcja_VRDeck_Family,-0.23057627702850064
"('RoomService', 'Destination_Enc')",Interakcja_RoomService_Destination_Enc,-0.23177618502155728
"('Spa', 'Cabin_Type_Enc')",Interakcja_Spa_Cabin_Type_Enc,-0.23715460688531897
"('Spa', 'Family')",Interakcja_Spa_Family,-0.23743751314813247
"('VRDeck', 'HomePlanet_Enc')",Interakcja_VRDeck_HomePlanet_Enc,-0.250235652480022
"('VRDeck', 'Cabin_Section_Enc')",Interakcja_VRDeck_Cabin_Section_Enc,-0.25574936291808475
"('RoomService', 'Cabin_Type_Enc')",Interakcja_RoomService_Cabin_Type_Enc,-0.2564532645546892
"('Family', 'TotalSpending')",Interakcja_Family_TotalSpending,-0.26785998901603686
"('RoomService', 'Group')",Interakcja_RoomService_Group,-0.27083246652598547
"('Spa', 'Cabin_Section_Enc')",Interakcja_Spa_Cabin_Section_Enc,-0.27104189912517607
"('VRDeck', 'Group')",Interakcja_VRDeck_Group,-0.27144178306317457
"('Spa', 'Group')",Interakcja_Spa_Group,-0.2766366829746277
"('RoomService', 'Cabin_Section_Enc')",Interakcja_RoomService_Cabin_Section_Enc,-0.2790608383792397
"('Spa', 'HomePlanet_Enc')",Interakcja_Spa_HomePlanet_Enc,-0.30053896979206324
"('ShoppingMall', 'HomePlanet_Enc')",Interakcja_ShoppingMall_HomePlanet_Enc,-0.32352178719949376
"('Group', 'TotalSpending')",Interakcja_Group_TotalSpending,-0.34274935719121735
"('Cabin_Section_Enc', 'TotalSpending')",Interakcja_Cabin_Section_Enc_TotalSpending,-0.3454994237627227
"('Destination_Enc', 'TotalSpending')",Interakcja_Destination_Enc_TotalSpending,-0.3504959698611134
"('Cabin_Type_Enc', 'TotalSpending')",Interakcja_Cabin_Type_Enc_TotalSpending,-0.3526668066725968
"('RoomService', 'HomePlanet_Enc')",Interakcja_RoomService_HomePlanet_Enc,-0.3856179675730078
"('HomePlanet_Enc', 'TotalSpending')",Interakcja_HomePlanet_Enc_TotalSpending,-0.4181103690583044
"('FoodCourt', 'CryoSleep_Enc')",Interakcja_FoodCourt_CryoSleep_Enc,-0.46358789219756974
"('Spa', 'CryoSleep_Enc')",Interakcja_Spa_CryoSleep_Enc,-0.46724393168344064
"('ShoppingMall', 'CryoSleep_Enc')",Interakcja_ShoppingMall_CryoSleep_Enc,-0.46725786423703775
"('CryoSleep_Enc', 'TotalSpending')",Interakcja_CryoSleep_Enc_TotalSpending,-0.46741242656049786
"('VRDeck', 'CryoSleep_Enc')",Interakcja_VRDeck_CryoSleep_Enc,-0.467454890800591
"('RoomService', 'CryoSleep_Enc')",Interakcja_RoomService_CryoSleep_Enc,-0.4676573026772994
